"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot"
"154","FRS/GMRS 5","462.66250","462.66250","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"155","FRS/GMRS 6","462.68750","462.68750","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"156","FRS/GMRS 7","462.71250","462.71250","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"157","FRS/GMRS 8","467.56250","467.56250","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"158","FRS/GMRS 9","467.48750","467.48750","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"159","FRS/GMRS 10","467.61250","467.61250","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"160","FRS/GMRS 11","467.63750","467.63750","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"161","FRS/GMRS 12","467.66250","467.66250","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"162","FRS/GMRS 13","467.68750","467.68750","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"163","FRS/GMRS 14","467.71250","467.71250","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"164","FRS/GMRS 15","462.55000","462.55000","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"165","FRS/GMRS 16","462.57500","462.57500","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"166","FRS/GMRS 17","462.60000","462.60000","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"167","FRS/GMRS 18","462.62500","462.62500","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"168","FRS/GMRS 19","462.65000","462.65000","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"169","FRS/GMRS 20","462.67500","462.67500","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"170","FRS/GMRS 21","462.70000","462.70000","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"171","FRS/GMRS 22","462.72500","462.72500","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"172","WX4SFL Key Largo","146.61000","146.01000","A-Analog","High","25K","94.8","94.8","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","FL Keys","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"173","KC4SFA Key Largo","147.16500","147.76500","A-Analog","High","25K","94.8","94.8","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","FL Keys","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"174","Key W 2 k4fhe","147.34500","147.94500","A-Analog","High","25K","94.8","94.8","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","FL Keys","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"175","Scout Key 2","146.67000","146.07000","A-Analog","High","25K","94.8","94.8","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","FL Keys","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"176","Marathon","147.25500","147.85500","A-Analog","High","25K","94.8","94.8","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","FL Keys","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"177","Plant Key","146.71500","146.11500","A-Analog","High","25K","94.8","94.8","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","FL Keys","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"178","Key W 70cm","444.70000","449.70000","A-Analog","High","25K","94.8","94.8","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","FL Keys","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"179","Scout Key 70","442.40000","447.40000","A-Analog","High","25K","94.8","94.8","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","FL Keys","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"180","Marathon 70","444.85000","449.85000","A-Analog","High","25K","94.8","94.8","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","FL Keys","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"181","Plant Key 70","443.45000","448.45000","A-Analog","High","25K","94.8","94.8","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","FL Keys","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"4001","Channel VFO A","146.52000","146.52000","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"4002","Channel VFO B","145.11250","145.11250","D-Digital","Turbo","25K","Off","Off","World-wide","Group Call","91","Danny","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","100","100"
