"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot"
"36","Southern Plains","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","Southern Plains","Group Call","3175","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"37","BM TX Chat","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","TX Chat","Group Call","31480","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"38","BM North TX","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","North Texas","Group Call","31481","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"39","BM South TX","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","South Texas","Group Call","31482","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"40","BM West TX","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","West Texas","Group Call","31483","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"41","BM Southeast TX","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","SouthEast Texas","Group Call","31484","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"42","TX Nexus Fusion","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","Texas-Nexus","Group Call","31488","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"43","DMR Info","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","DMR INFO NETWORK","Group Call","31648","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"44","TX Wide","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","Texas","Group Call","3148","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","1","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"45","East TX Wide","440.00000","445.00000","D-Digital","Turbo","12.5K","Off","Off","East Texas Wide","Group Call","8206","Danny","Different Color Code","Carrier","Off","1","1","1","Off","9","2","Lufkin DMR","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
